12:55:04.033 [ApplicationImpl pooled thread 18] INFO  com.browserstack.utils.Helpers - null
12:55:04.035 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:57:35.105 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - testng
12:57:35.105 [ApplicationImpl pooled thread 7] INFO  com.browserstack.utils.Helpers - null
12:57:35.120 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:58:18.514 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - testng
12:58:18.514 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - null
12:58:18.514 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:26:52.740 [ApplicationImpl pooled thread 66] INFO  c.b.l.BrowserStackRunExtension - testng
14:26:52.740 [ApplicationImpl pooled thread 66] INFO  com.browserstack.utils.Helpers - null
14:26:52.740 [ApplicationImpl pooled thread 66] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:41:53.159 [ApplicationImpl pooled thread 70] INFO  c.b.l.BrowserStackRunExtension - testng
14:41:53.159 [ApplicationImpl pooled thread 70] INFO  com.browserstack.utils.Helpers - null
14:41:53.159 [ApplicationImpl pooled thread 70] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:36:49.890 [ApplicationImpl pooled thread 253] INFO  c.b.l.BrowserStackRunExtension - testng
17:36:49.890 [ApplicationImpl pooled thread 253] INFO  com.browserstack.utils.Helpers - null
17:36:49.890 [ApplicationImpl pooled thread 253] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:06:55.888 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - testng
12:06:55.891 [ApplicationImpl pooled thread 50] INFO  com.browserstack.utils.Helpers - null
12:06:55.891 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:22:16.067 [ApplicationImpl pooled thread 66] INFO  c.b.l.BrowserStackRunExtension - testng
12:22:16.081 [ApplicationImpl pooled thread 66] INFO  com.browserstack.utils.Helpers - null
12:22:16.081 [ApplicationImpl pooled thread 66] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:22:42.796 [ApplicationImpl pooled thread 66] INFO  c.b.l.BrowserStackRunExtension - maven
12:22:42.796 [ApplicationImpl pooled thread 66] INFO  com.browserstack.utils.Helpers - null
12:23:11.166 [ApplicationImpl pooled thread 73] INFO  c.b.l.BrowserStackRunExtension - testng
12:23:11.166 [ApplicationImpl pooled thread 73] INFO  com.browserstack.utils.Helpers - null
12:23:11.175 [ApplicationImpl pooled thread 73] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:11:33.000 [ApplicationImpl pooled thread 21] INFO  c.b.l.BrowserStackRunExtension - testng
12:11:33.000 [ApplicationImpl pooled thread 21] INFO  com.browserstack.utils.Helpers - null
12:11:33.000 [ApplicationImpl pooled thread 21] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:15:23.392 [ApplicationImpl pooled thread 26] INFO  c.b.l.BrowserStackRunExtension - testng
12:15:23.392 [ApplicationImpl pooled thread 26] INFO  com.browserstack.utils.Helpers - null
12:15:23.392 [ApplicationImpl pooled thread 26] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:16:09.211 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - testng
12:16:09.211 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
12:16:09.211 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:59:18.815 [ApplicationImpl pooled thread 30] INFO  c.b.l.BrowserStackRunExtension - testng
12:59:18.815 [ApplicationImpl pooled thread 30] INFO  com.browserstack.utils.Helpers - null
12:59:18.815 [ApplicationImpl pooled thread 30] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:10:11.801 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - testng
12:10:11.801 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - null
12:10:11.801 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
